FISCAL YEAR,Treasury Bills*,Treasury Bonds,Government Stocks,Overdraft at Central Bank,Advances from Commercial Banks,Other Domestic Debt**,Total Domestic Debt***
19-Nov,"171,069.20","381,042.80",754.7043,"9,829.42",89.56248495,141.1053861,"562,926.79"
19-Dec,"174,160.70","402,688.35",754.7043,"11,127.92",129.601925,109.0439686,"588,970.31"
19-Jan,"174,479.10","395,461.20",754.7043,"9,179.71",686.8786557,159.8787236,"580,721.47"
19-Feb,"187,066.75","408,003.35",753.3494,"11,426.82",123.1153697,139.2242029,"607,512.61"
19-Mar,"194,059.15","437,474.35",753.3494,"6,544.79",123.1153697,161.5677856,"639,116.32"
19-Apr,"208,902.05","442,356.25",753.3494,"1,109.31",182.5533453,310.9055849,"653,614.42"
19-May,"199,745.10","443,434.50",753.3494,"5,237.37",937.1079486,154.536892,"650,261.96"
19-Jun,"191,267.55","448,615.35",753.3494,"17,649.38","1,595.86",386.2031004,"660,267.68"
19-Jul,"190,422.50","459,274.45",753.3494,"15,508.55","1,668.37",176.2041359,"667,803.42"
19-Aug,"184,014.30","488,492.30",753.3494,"22,926.07","1,708.69",152.6488908,"698,047.35"
19-Sep,"181,138.05","501,233.25",0,"20,563.11","1,608.36",159.9939389,"704,702.77"
19-Oct,"176,380.85","498,137.90",0,"19,961.29","1,485.23",167.3827336,"696,132.65"
19-Nov,"168,117.15","517,794.50",0,"22,926.07","1,462.77","1,148.49","711,448.98"
19-Dec,"165,104.75","529,871.50",0,"22,665.77","1,546.08","1,019.87","720,207.97"
19-Jan,"167,344.35","538,569.95",0,"17,628.60","1,653.89","5,000.98","730,197.77"
19-Feb,"162,311.40","558,130.90",0,"22,926.07","2,214.27","1,087.65","746,670.28"
19-Mar,"160,174.00","570,774.25",0,"19,727.19","2,360.78","1,011.88","754,048.10"
19-Apr,"134,537.50","574,489.65",0,"22,926.07","2,335.83","1,171.01","735,460.06"
19-May,"135,140.15","585,388.65",0,"22,926.07","2,160.74",959.1246012,"746,574.73"
19-Jun,"157,388.10","595,661.35",0,"7,571.00","2,243.30","1,359.05","764,222.80"
19-Jul,"150,106.10","600,953.95",0,"19,933.56","2,650.50","8,068.92","781,713.03"
19-Aug,"143,716.90","603,838.95",0,"25,533.14","2,750.09","1,013.51","776,852.60"
19-Sep,"144,521.30","591,518.50",0,"25,373.20","2,335.90",525.6850279,"764,274.59"
19-Oct,"159,349.10","605,849.50",0,"25,373.20","3,505.02",488.7403806,"794,565.56"
19-Nov,"146,778.55","616,151.05",0,"25,373.20","2,380.67","13,210.87","803,894.34"
19-Dec,"137,873.40","633,549.35",0,"25,373.20","2,639.49",444.6165892,"799,880.06"
19-Jan,"140,384.55","640,132.85",0,"25,373.20","2,473.64",913.8669983,"809,278.11"
19-Feb,"170,427.00","677,790.50",0,"25,373.20","2,802.37",899.6438947,"877,292.72"
19-Mar,"175,250.90","683,565.25",0,"25,373.20","2,760.93",921.1116305,"887,871.40"
19-Apr,"177,399.25","689,983.30",0,"25,373.20","2,313.67",967.3005816,"896,036.72"
19-May,"168,295.45","692,521.10",0,"25,373.20","2,006.29",860.7737454,"889,056.81"
19-Jun,"161,830.05","686,950.90",0,"7,256.50","2,255.71",536.3937151,"858,829.55"
19-Jul,"151,664.55","692,988.09",0,"25,373.20","1,757.75",376.9314526,"872,160.52"
19-Aug,"176,086.65","704,724.89",0,"17,717.98","3,020.19",384.5661923,"901,934.27"
19-Sep,"189,525.20","703,884.36",0,"25,373.20","3,020.82",392.6125798,"922,196.19"
19-Oct,"182,914.05","717,648.66",0,"25,373.20","3,002.05",383.6564998,"929,321.62"
19-Nov,"213,990.20","715,342.54",0,"25,373.20","3,355.91",376.8269049,"958,438.68"
19-Dec,"226,042.45","716,068.29",0,"25,373.20","3,407.60",373.8956576,"971,265.44"
19-Jan,"233,713.70","715,568.29",0,"25,373.20","3,349.13",331.578233,"978,335.91"
19-Feb,"194,105.80","717,152.36",0,"25,373.20","6,797.95",320.8713874,"943,750.18"
19-Mar,"215,979.40","733,204.55",0,"25,373.20","7,127.02",226.7590398,"981,910.93"
19-Apr,"283,449.75","740,996.00",0,"34,186.64","6,512.77",464.2342762,"1,065,609.39"
19-May,"290,628.65","746,878.70",0,"34,186.64","2,908.60",195.0923055,"1,074,797.69"
19-Jun,"296,593.75","744,174.06",0,"6,998.80","2,578.47",283.4849565,"1,050,628.57"
19-Jul,"283,618.00","776,690.51",0,"15,488.16","2,638.17",169.1710045,"1,078,604.00"
19-Aug,"306,839.45","774,401.46",0,"32,718.83","2,538.21",178.2694047,"1,116,676.22"
19-Sep,"336,453.25","794,839.96",0,"34,186.64","2,426.74",208.7669505,"1,168,115.36"
19-Oct,"340,867.75","801,846.54",0,"27,979.68","3,851.64",236.6661605,"1,174,782.27"
19-Nov,"338,905.90","793,356.09",0,"34,186.64","3,437.85",166.7386855,"1,170,053.22"
19-Dec,"336,089.95","816,289.14",0,"34,186.64","2,439.21",177.6509908,"1,189,182.59"
19-Jan,"344,532.60","831,319.29",0,"22,473.86","2,382.34",193.7627512,"1,200,901.86"
19-Feb,"346,034.25","843,583.29",0,"34,186.64","5,435.47",176.6266688,"1,229,416.28"
19-Mar,"331,056.55","863,559.69",0,"34,186.64","2,211.12",169.0952695,"1,231,183.10"
19-Apr,"304,969.20","874,652.84",0,"34,186.64","2,743.55",206.9975448,"1,216,759.23"
19-May,"303,085.65","886,920.29",0,"39,123.22","2,743.55",168.834217,"1,232,041.55"
19-Jun,"327,679.15","914,762.09",0,"37,237.94","4,448.51",199.5622786,"1,284,327.25"
19-Jul,"346,903.95","914,354.95",0,"31,657.71","3,360.92",167.1874848,"1,296,444.73"
19-Aug,"333,331.95","913,247.10",0,"30,377.85","3,977.01",159.7525454,"1,281,093.66"
19-Sep,"303,758.60","919,851.88",0,"34,374.23","2,739.16",150.6823329,"1,260,874.56"
19-Oct,"311,615.80","922,099.93",0,"18,300.92","2,128.81",767.9636998,"1,254,913.42"
19-Nov,"329,722.35","953,698.28",0,"16,486.99","3,291.03",164.6490566,"1,303,363.31"
19-Dec,"318,574.20","955,000.38",0,"30,929.46","3,089.51",155.1600924,"1,307,748.71"
19-Jan,"326,463.20","977,080.38",0,"27,486.55","3,454.26",158.4072364,"1,334,642.80"
19-Feb,"335,289.25","980,996.33",0,"34,198.39","2,647.73",170.9469614,"1,353,302.65"
19-Mar,"369,446.35","987,494.68",0,"37,398.42","2,647.73",138.5443328,"1,397,125.72"
19-Apr,"374,136.60","1,009,167.63",0,"29,769.47","2,190.15",167.663902,"1,415,431.51"
19-May,"361,446.10","1,022,949.58",0,"21,095.00","2,270.10",157.5556775,"1,407,918.34"
19-Jun,"345,543.15","1,035,706.68",0,"36,494.18","2,488.47",211.8928555,"1,420,444.38"
19-Jul,"325,478.95","1,048,168.38",0,"41,684.15","3,068.84",167.9142292,"1,418,568.23"
19-Aug,"313,047.70","1,041,796.88",0,"46,074.67","2,013.09",167.8631952,"1,403,100.20"
19-Sep,"293,211.75","1,046,936.35",0,"45,923.88","1,716.60",473.7259487,"1,388,262.31"
19-Oct,"348,309.75","1,067,419.10",0,"36,873.24","1,430.89",212.4012177,"1,454,245.39"
19-Nov,"404,263.35","1,073,926.15",0,"36,495.06","1,441.37",247.5396958,"1,516,373.47"
19-Dec,"417,425.10","1,072,319.75",0,"45,232.56","5,446.31",155.414996,"1,540,579.13"
19-Jan,"404,324.80","1,076,604.05",0,"35,665.27","5,726.48",449.2743198,"1,522,769.88"
19-Feb,"456,209.90","1,099,225.68",0,"43,578.68","5,476.98",736.7373848,"1,605,227.98"
19-Mar,"498,398.45","1,095,371.01",0,"46,455.31","5,558.57",744.1454938,"1,646,527.48"
19-Apr,"533,403.45","1,104,673.83",0,"44,873.88","5,377.16",710.9372219,"1,689,039.25"
19-May,"579,414.90","1,120,536.68",0,"44,234.96","5,430.48",709.7526831,"1,750,326.78"
19-Jun,"613,037.70","1,152,041.17",0,"44,203.67","5,430.48",757.4781314,"1,815,470.50"
19-Jul,"602,705.75","1,186,119.82",0,"14,006.12","5,093.46",716.488504,"1,808,641.64"
19-Aug,"605,966.85","1,190,226.27",0,"13,280.24","5,744.18",713.1940119,"1,815,930.73"
19-Sep,"643,197.00","1,201,777.87",0,"3,319.34","5,530.12",730.2414029,"1,854,554.56"
19-Oct,"641,655.15","1,224,209.95",0,0,"5,530.12",707.6118396,"1,872,102.82"
19-Nov,"644,953.45","1,254,594.85",0,"12,666.95","6,382.82",702.9555613,"1,919,301.02"
19-Dec,"645,140.05","1,249,342.70",0,"29,932.63","5,738.79",700.8468998,"1,930,855.01"
19-Jan,"619,529.60","1,250,696.81",0,"17,304.25","5,857.26",707.0747947,"1,894,094.99"
